"part_id","hh_id","part_age","part_gender"
1,"FR151",4,"F"
14,"FR1514",26,"F"
19,"FR1519",62,"M"
21,"FR1521",78,"F"
24,"FR1524",62,"F"
25,"FR1525",54,"M"
28,"FR1528",62,"F"
35,"FR1535",35,"F"
38,"FR1538",63,"F"
46,"FR1546",42,"M"
53,"FR1553",59,"F"
60,"FR1560",9,"F"
76,"FR1576",56,"M"
92,"FR1592",55,"F"
94,"FR1594",60,"F"
13,"FR1513",25,"F"
31,"FR1531",71,"M"
105,"FR15105",46,"M"
107,"FR15107",66,"M"
113,"FR15113",60,"F"
115,"FR15115",28,"F"
124,"FR15124",29,"M"
128,"FR15128",53,"M"
140,"FR15140",84,"F"
145,"FR15145",60,"F"
150,"FR15150",59,"F"
152,"FR15152",27,"M"
154,"FR15154",53,"M"
170,"FR15170",59,"M"
171,"FR15171",48,"F"
174,"FR15174",2,"F"
182,"FR15182",36,"M"
224,"FR15224",0,"F"
229,"FR15229",53,"F"
233,"FR15233",6,"M"
255,"FR15255",8,"M"
267,"FR15267",56,"F"
269,"FR15269",0,"M"
272,"FR15272",17,"M"
274,"FR15274",48,"F"
280,"FR15280",75,"F"
293,"FR15293",11,"M"
297,"FR15297",48,"F"
309,"FR15309",45,"F"
311,"FR15311",60,"F"
312,"FR15312",58,"F"
313,"FR15313",34,"F"
315,"FR15315",64,"M"
318,"FR15318",34,"F"
319,"FR15319",68,"F"
342,"FR15342",60,"F"
346,"FR15346",63,"F"
353,"FR15353",62,"F"
365,"FR15365",4,"F"
372,"FR15372",54,"F"
373,"FR15373",55,"F"
375,"FR15375",6,"M"
383,"FR15383",1,"F"
384,"FR15384",56,"F"
385,"FR15385",21,"M"
392,"FR15392",24,"F"
402,"FR15402",82,"M"
403,"FR15403",52,"M"
405,"FR15405",55,"F"
412,"FR15412",33,"M"
413,"FR15413",56,"F"
415,"FR15415",61,"M"
422,"FR15422",66,"F"
431,"FR15431",13,"M"
440,"FR15440",25,"F"
441,"FR15441",67,"F"
444,"FR15444",32,"M"
451,"FR15451",47,"M"
457,"FR15457",13,"M"
468,"FR15468",47,"M"
472,"FR15472",0,"M"
490,"FR15490",16,"M"
492,"FR15492",78,"F"
493,"FR15493",3,"M"
495,"FR15495",71,"F"
496,"FR15496",53,"F"
500,"FR15500",19,"F"
501,"FR15501",14,"F"
506,"FR15506",12,"F"
509,"FR15509",41,"F"
511,"FR15511",56,"M"
518,"FR15518",68,"F"
519,"FR15519",75,"M"
533,"FR15533",15,"F"
537,"FR15537",50,"F"
539,"FR15539",51,"F"
543,"FR15543",49,"F"
548,"FR15548",60,"M"
558,"FR15558",14,"F"
564,"FR15564",63,"M"
565,"FR15565",19,"F"
568,"FR15568",67,"F"
575,"FR15575",9,"M"
576,"FR15576",69,"M"
581,"FR15581",7,"F"
595,"FR15595",1,"F"
598,"FR15598",23,"F"
603,"FR15603",10,"M"
610,"FR15610",50,"F"
616,"FR15616",56,"M"
623,"FR15623",31,"F"
635,"FR15635",82,"F"
637,"FR15637",61,"F"
642,"FR15642",2,"F"
648,"FR15648",51,"M"
653,"FR15653",63,"M"
661,"FR15661",60,"M"
663,"FR15663",75,"F"
664,"FR15664",18,"M"
667,"FR15667",43,"M"
668,"FR15668",13,"M"
673,"FR15673",83,"M"
674,"FR15674",64,"F"
676,"FR15676",48,"M"
678,"FR15678",14,"F"
679,"FR15679",81,"M"
680,"FR15680",40,"F"
689,"FR15689",53,"M"
692,"FR15692",59,"M"
695,"FR15695",1,"F"
697,"FR15697",55,"F"
706,"FR15706",73,"M"
711,"FR15711",78,"F"
721,"FR15721",41,"M"
722,"FR15722",67,"M"
735,"FR15735",69,"F"
