"GEO","SEX","AGE","TIME","VALUE","FLAGS","FOOTNOTES"
"AT","T","Y1","2011","79563","",""
"AT","T","Y10","2011","80891","",""
"AT","T","Y11","2011","83499","",""
"AT","T","Y12","2011","83924","",""
"AT","T","Y13","2011","86902","",""
"AT","T","Y14","2011","91741","",""
"AT","T","Y15","2011","93006","",""
"AT","T","Y16","2011","94561","",""
"AT","T","Y17","2011","97336","",""
"AT","T","Y18","2011","100862","",""
"AT","T","Y19","2011","103053","",""
"AT","T","Y2","2011","77971","",""
"AT","T","Y20","2011","105442","",""
"AT","T","Y21","2011","104622","",""
"AT","T","Y22","2011","105666","",""
"AT","T","Y23","2011","106557","",""
"AT","T","Y24","2011","105388","",""
"AT","T","Y25","2011","107177","",""
"AT","T","Y26","2011","108919","",""
"AT","T","Y27","2011","110282","",""
"AT","T","Y28","2011","111589","",""
"AT","T","Y29","2011","114816","",""
"AT","T","Y3","2011","79029","",""
"AT","T","Y30","2011","114294","",""
"AT","T","Y31","2011","110067","",""
"AT","T","Y32","2011","106000","",""
"AT","T","Y33","2011","103848","",""
"AT","T","Y34","2011","104098","",""
"AT","T","Y35","2011","106282","",""
"AT","T","Y36","2011","110434","",""
"AT","T","Y37","2011","112862","",""
"AT","T","Y38","2011","114504","",""
"AT","T","Y39","2011","120735","",""
"AT","T","Y4","2011","78894","",""
"AT","T","Y40","2011","126229","",""
"AT","T","Y41","2011","129096","",""
"AT","T","Y42","2011","138142","",""
"AT","T","Y43","2011","140953","",""
"AT","T","Y44","2011","140822","",""
"AT","T","Y45","2011","141229","",""
"AT","T","Y46","2011","143110","",""
"AT","T","Y47","2011","143270","",""
"AT","T","Y48","2011","143351","",""
"AT","T","Y49","2011","139428","",""
"AT","T","Y5","2011","80163","",""
"AT","T","Y50","2011","133742","",""
"AT","T","Y51","2011","130784","",""
"AT","T","Y52","2011","125140","",""
"AT","T","Y53","2011","119519","",""
"AT","T","Y54","2011","116977","",""
"AT","T","Y55","2011","114526","",""
"AT","T","Y56","2011","106817","",""
"AT","T","Y57","2011","100811","",""
"AT","T","Y58","2011","98637","",""
"AT","T","Y59","2011","96489","",""
"AT","T","Y6","2011","81425","",""
"AT","T","Y60","2011","93089","",""
"AT","T","Y61","2011","94205","",""
"AT","T","Y62","2011","96672","",""
"AT","T","Y63","2011","97189","",""
"AT","T","Y64","2011","99510","",""
"AT","T","Y65","2011","75397","",""
"AT","T","Y66","2011","70762","",""
"AT","T","Y67","2011","86914","",""
"AT","T","Y68","2011","84050","",""
"AT","T","Y69","2011","85706","",""
"AT","T","Y7","2011","81211","",""
"AT","T","Y70","2011","95583","",""
"AT","T","Y71","2011","101868","",""
"AT","T","Y72","2011","92869","",""
"AT","T","Y73","2011","62639","",""
"AT","T","Y74","2011","57355","",""
"AT","T","Y75","2011","54966","",""
"AT","T","Y76","2011","53408","",""
"AT","T","Y77","2011","51443","",""
"AT","T","Y78","2011","51176","",""
"AT","T","Y79","2011","51210","",""
"AT","T","Y8","2011","81259","",""
"AT","T","Y80","2011","49369","",""
"AT","T","Y81","2011","47238","",""
"AT","T","Y82","2011","43946","",""
"AT","T","Y83","2011","40481","",""
"AT","T","Y84","2011","37099","",""
"AT","T","Y85","2011","35015","",""
"AT","T","Y86","2011","32118","",""
"AT","T","Y87","2011","28104","",""
"AT","T","Y88","2011","25092","",""
"AT","T","Y89","2011","21443","",""
